Grantor,Grantee,Grantee_Clean,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
DEPARTMENT OF PLANNING/HISTORIC PRESERVATION - CAPITAL APPROPRIATION,"BETHEL A.M.E. CHURCH, INC.","BETHEL A.M.E. CHURCH, INC.",21601,2022,83085.52,HISTORIC PRESERVATION GRANT PROGRAM FY17 & FY22 AAHPP GRANT: BETHEL AFRICAN METHODIST EPISCOPAL CHURCH,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH,"CATOCTIN FURNACE HISTORICAL SOCIETY, INC.","CATOCTIN FURNACE HISTORICAL SOCIETY, INC.",21788,2022,137500,HERITAGE AREAS AUTHORITY FY21 MHAA PROJECT GRANT: FINISH IT! MUSEUM OF THE IRONWORKER RESTORATION/RENOVATION PHASE III. FY22 MHAA PROJECT GRANT:  ONLY THE THIRD OWNER - SAVING A WORKER HOUSE IN HISTORIC CATOCTIN FURNACE.,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH,"CHESAPEAKE BAY MARITIME MUSEUM, INC.","CHESAPEAKE BAY MARITIME MUSEUM, INC.",21663,2022,75000,HERITAGE AREAS AUTHORITY FY20 MHAA PROJECT GRANT: CBMM EXHIBITION BUILDING - PHASE 1   FY22 MHAA PROJECT GRANT: WATERCRAFT HERITAGE EXHIBITION,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/HISTORIC PRESERVATION - CAPITAL APPROPRIATION,"THE CHIPMAN FOUNDATION, INC.","THE CHIPMAN FOUNDATION, INC.",21803,2022,63160.55,"HISTORIC PRESERVATION GRANT PROGRAM FY14, FY18 & FY22 AAHPP GRANT: CHARLES H. CHIPMAN CULTURAL CENTER",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/HISTORIC PRESERVATION - CAPITAL APPROPRIATION,"CHARLES COUNTY FAIR, INC.","CHARLES COUNTY FAIR, INC.",20646,2022,55565.07,HISTORIC PRESERVATION GRANT PROGRAM FY20 AAHPP GRANT: MCCONCHIE ONE-ROOM SCHOOL,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH,"EASTERN SHORE HERITAGE, INC.","EASTERN SHORE HERITAGE, INC.",21620,2022,55561.5,"HERITAGE AREAS AUTHORITY FY21 & 22 MHAA  -OPERATING ASSISTANCE GRANTS - TO SUPPORT STAFF SALARIES, OPERATION COSTS AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREAS MANAGEMENT PLAN. FY22 BLOCK GRANT:  TO SUPPORT THE AWARD OF NON-CAPITAL MINI-GRANTS TO PROJECTS LOCATED WITHIN THE HERITAGE AREA BOUNDARIES PURSUANT TO THE MHAA POLICY ON MINI-GRANTS AND DISCRETIONARY FUNDS.",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/HISTORIC PRESERVATION - CAPITAL APPROPRIATION,"FRIENDS OF THE ABERDEEN B&O TRAIN STATION, INC.","FRIENDS OF THE ABERDEEN B&O TRAIN STATION, INC.",21001,2022,60872.65,HISTORIC PRESERVATION GRANT PROGRAM FY19 MHT CAPITAL: ABERDEEN B&O RAILROAD STATION,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH & HISTORIC PRESERVATION - CAPITAL APPROPRIATION,"GALESVILLE COMMUNITY CENTER ORGANIZATION, INC.","GALESVILLE COMMUNITY CENTER ORGANIZATION, INC.",20765,2022,69750,"HERITAGE AREAS AUTHORITY FY22  MHAA POJECT GRANT:  PERSISTENCE, PURPOSE AND PRESERVATION: ROSENWALD SCHOOLS IN ANNE ARUNDEL COUNTY. HISTORIC PRESERVATION GRANT PROGRAM FY21 AAHPP PROJECT GRANT: GALESVILLE COMMUNITY CENTER",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH,"GARRETT COUNTY CHAMBER OF COMMERCE, INC., HOME OF DEEP CREEK LAKE",GARRETT COUNTY CHAMBER OF COMMERCE,21541,2022,124500,"HERITAGE AREAS AUTHORITY FY21 MARKETING GRANT FY2022: BLOCK GRANT: TO SUPPORT THE AWARD OF NON-CAPITAL MINI-GRANTS TO PROJECTS LOCATED WITHIN THE HERITAGE AREA BOUNDARIES PURSUANT TO THE MHAA POLICY ON MINI-GRANTS AND DISCRETIONARY FUNDS. FY21 & FY22: MANAGEMENT GRANT: OPERATING ASSISTANCE GRANTS - TO SUPPORT STAFF SALARIES, OPERATION COSTS AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREAS MANAGEMENT PLAN.",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH,"HEART OF THE CIVIL WAR HERITAGE AREA, INC.","HEART OF THE CIVIL WAR HERITAGE AREA, INC.",21701,2022,114500,"HERITAGE AREAS AUTHORITY FY20 FY22 MHAA -OPERATING ASSISTANCE GRANTS - TO SUPPORT STAFF SALARIES, OPERATION COSTS AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREAS MANAGEMENT PLAN. FY22 BLOCK GRANT: TO SUPPORT THE AWARD OF NON-CAPITAL MINI-GRANTS TO PROJECTS LOCATED WITHIN THE HERITAGE AREA BOUNDARIES PURSUANT TO THE MHAA POLICY ON MINI-GRANTS AND DISCRETIONARY FUNDS.  FY21 & FY22 MARKETING GRANT",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH,"HERITAGE TOURISM ALLIANCE OF MONTGOMERY COUNTY, INC.","HERITAGE TOURISM ALLIANCE OF MONTGOMERY COUNTY, INC.",20898,2022,61250,"HERITAGE AREAS AUTHORITY FY22 MHAA: OPERATING ASSISTANCE GRANTS - TO SUPPORT STAFF SALARIES, OPERATION COSTS AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREAS MANAGEMENT PLAN. FY16 MHAA PROJECT GRANT: AFRICAN AMERICAN HERITAGE INTERPRETIVE PROGRAMS.",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/HISTORIC PRESERVATION - CAPITAL APPROPRIATION,"HISTORIC EASTON, INCORPORATED","HISTORIC EASTON, INC.",21601,2022,141186.55,"HISTORIC PRESERVATION GRANT PROGRAM FY17, FY18  & FY19 AAHPP GRANT:  ASBURY M.E. CHURCH (EASTON).  FY20, FY21 & FY22 MHT CAPITAL GRANT:  ASBURY M.E. CHURCH (EASTON)",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH,"HISTORIC SHIPS IN BALTIMORE, INC.","HISTORIC SHIPS IN BALTIMORE, INC.",21231,2022,76483.75,"HERITAGE AREAS AUTHORITY FY18 MHAA PROJECT GRANT: USS CONSTELLATION HULL REPAIRS. FY 19 MHAA PROJECT GRANT: HISTORIC SHIPS IN BALTIMORE INTERACTIVE EDUCATIONAL MOBILE ""APP"". FY22 MHAA PROJECT GRANT: USS CONSTELLATION CRITICAL DRY DOCKING",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/HISTORIC PRESERVATION - CAPITAL APPROPRIATION,"LIBERTY GRACE CHURCH OF GOD, INC.","LIBERTY GRACE CHURCH OF GOD, INC.",21215,2022,59303.22,HISTORIC PRESERVATION GRANT PROGRAM FY20 AAHPP GRANT: LIBERTY GRACE CHURCH OF GOD - BOWLING ALLEY,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH,"LOWER SUSQUEHANNA HERITAGE GREENWAY, INCORPORATED","LOWER SUSQUEHANNA HERITAGE GREENWAY, INC.",21034,2022,125000,"HERITAGE AREAS AUTHORITY FY20, FY21 & FY22 MHAA: -  OPERATING ASSISTANCE GRANTS - TO SUPPORT STAFF SALARIES, OPERATION COSTS AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREAS MANAGEMENT PLAN. FY22 BLOCK GRANT: TO SUPPORT THE AWARD OF NON-CAPITAL MINI-GRANTS TO PROJECTS LOCATED WITHIN THE HERITAGE AREA BOUNDARIES PURSUANT TO THE MHAA POLICY ON MINI-GRANTS AND DISCRETIONARY FUNDS.",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/HISTORIC PRESERVATION - CAPITAL APPROPRIATION,MOUNT ZION UNITED METHODIST CHURCH - MAGOTHY,MOUNT ZION UNITED METHODIST CHURCH - MAGOTHY,21122,2022,64900,HISTORIC PRESERVATION GRANT PROGRAM FY18 AAHPP PROJECT GRANT:  MAGOTHY ELEMENTARY ROSENWALD SCHOOL,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH,"PATAPSCO HERITAGE GREENWAY, INC.","PATAPSCO HERITAGE GREENWAY, INC.",21041,2022,140107,"HERITAGE AREAS AUTHORITY FY21 & FY22 MHAA - OPERATING ASSISTANCE GRANTS - TO SUPPORT STAFF SALARIES, OPERATION COSTS AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREAS MANAGEMENT PLAN.  FY22 BLOCK GRANT: TO SUPPORT THE AWARD OF NON-CAPITAL MINI-GRANTS TO PROJECTS LOCATED WITHIN THE HERITAGE AREA BOUNDARIES PURSUANT TO THE MHAA POLICY ON MINI-GRANTS AND DISCRETIONARY FUNDS.  FY20 MHAA PROJECT GRANT: EC 250 PHG PROJECT. FY21 & FY22 MARKETING GRANT",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH,"THE PEALE CENTER FOR BALTIMORE HISTORY AND ARCHITECTURE, INC.","THE PEALE CENTER FOR BALTIMORE HISTORY AND ARCHITECTURE, INC.",21202,2022,97500,HERITAGE AREAS AUTHORITY FY21 MHAA PROJECT GRANT:  PEALE MHAA INFRASTRUCTURE IMPROVEMENTS 2020. FY22 MHAA PROJECT GRANT: PEALE MUSEUM FINAL INTERIOR RENOVATIONS AND FINISHES,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH,"PRIDE OF BALTIMORE, INC.","PRIDE OF BALTIMORE, INC.",21230,2022,55621.75,HERITAGE AREAS AUTHORITY FY20 MHAA PROJECT GRANT: VISITOR EXPERIENCE PLANNING FOR PRIDE OF BALTIMORE. FY22 MHAA PROJECT GRANT: REENGINEERING PRIDE OF BALTIMORE II,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/HISTORIC PRESERVATION - CAPITAL APPROPRIATION,"THE ROLAND PARK COMMUNITY FOUNDATION, INC.","THE ROLAND PARK COMMUNITY FOUNDATION, INC.",21210,2022,53094.57,HISTORIC PRESERVATION GRANT PROGRAM FY21 MHT CAPITAL GRANT: ROLAND PARK WATER TOWER,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/HISTORIC PRESERVATION - CAPITAL APPROPRIATION,"SAVE OUR SEMINARY AT FOREST GLEN, INC.","SAVE OUR SEMINARY AT FOREST GLEN, INC.",20910,2022,60160,HISTORIC PRESERVATION GRANT PROGRAM FY20 MHT CAPITAL GRANT: NATIONAL PARK SEMINARY,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/HISTORIC PRESERVATION - CAPITAL APPROPRIATION,"THE SOCIETY FOR THE PRESERVATION OF FEDERAL HILL AND FELL'S POINT, INC.","SOCIETY FOR THE PRESERVATION OF FEDERAL HILL AND FELL'S POINT, INC.",21231,2022,61678.32,HISTORIC PRESERVATION GRANT PROGRAM FY19 AAHPP GRANT: TWO SISTERS' HOUSES (CAULKERS' HOUSES),GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH,TRI-COUNTY COUNCIL FOR SOUTHERN MARYLAND,TRI-COUNTY COUNCIL FOR SOUTHERN MARYLAND,20637,2022,87250,"HERITAGE AREAS AUTHORITY FY21 & FY22 MHAA - OPERATING ASSISTANCE GRANTS - TO SUPPORT STAFF SALARIES, OPERATION COSTS AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREAS MANAGEMENT PLAN.  FY22 MHAA PROJECT GRANT:  SOUTHERN MARYLAND GRANDMA'S HANDS PROJECT",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/HISTORIC PRESERVATION - CAPITAL APPROPRIATION,THE TRUSTEES OF THE METHODIST EPISCOPAL CHURCH IN THE CITY AND PRECINCTS OF BALTIMORE,THE TRUSTEES OF THE METHODIST EPISCOPAL CHURCH IN THE CITY AND PRECINCTS OF BALTIMORE,21218,2022,100000,HISTORIC PRESERVATION GRANT PROGRAM FY20 MHT CAPITAL GRANT: LOVELY LANE UNITED METHODIST CHURCH,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH & HISTORIC PRESERVATION - CAPITAL APPROPRIATION,"THE UNION MILLS HOMESTEAD FOUNDATION, INC.","THE UNION MILLS HOMESTEAD FOUNDATION, INC.",21158,2022,102039.75,HERITAGE AREAS AUTHORITY FY19 MHAA PROJECT GRANT: HISTORIC RESOURCE STUDY FOR UNION MILLS. HISTORIC PRESERVATION GRANT PROGRAM FY18 MHT CAPITAL GRANT: UNION MILLS HOMESTEAD -  SHRIVER GRIST MILL FLUME,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/HISTORIC PRESERVATION - CAPITAL APPROPRIATION,"WESTMINSTER PRESERVATION TRUST, INCORPORATED","WESTMINSTER PRESERVATION TRUST, INCORPORATED",21201,2022,98500,HISTORIC PRESERVATION GRANT PROGRAM FY19 MHT CAPITAL GRANT: WESTMINSTER CEMETERY - GATES AND WALL,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF VETERAN AFFAIRS/VETERANS HOME PROGRAM,HEALTH MANAGEMENT RESOURCES (HMR) OF MARYLAND LLC,HEALTH MANAGEMENT RESOURCES (HMR) OF MARYLAND LLC,20622,2022,2575000,RELIEF FOR COVID-19 RELATED REVENUE LOSSES AT THE CHARLOTTE HALL VETERANS HOME. THE FUNDING IS BEING USED TOWARD COVID 19 PREVENTION MEASURES SUCH AS PPE AND THE CREATION OF SCREENING STATIONS AND ISOLATION UNITS AT THE VETERANS HOME. IN ADDITION THE FUNDING IS COVERING “HAZARD PAY” FOR THOSE EMPLOYEES THAT ARE WORKING IN COVID POSITIVE AREAS AROUND THE CLOCK AT THE VETERANS HOME. THE REMAINING PORTION OF THE FUNDING IS BEING SPENT ON FILLING THE SHORTFALL OF THE VETERANS HOME OPERATING COSTS.,GRANT,1,06/30/2022 12:00:00 AM
OFFICE OF THE COMPTROLLER/REVENUE ADMINISTRATION DIVISION,"CREATNG ASSETS, SAVINGS AND HOPE (CASH) CAMPAIGN OF MARYLAND, INC.","CREATING ASSETS, SAVINGS AND HOPE (CASH) CAMPAIGN OF MARYLAND, INC.",21201,2022,200000,"PROMOTE THE FINANCIAL CAPABILITY OF LOW–INCOME INDIVIDUALS AND FAMILIES BY PROVIDING OUTREACH, EDUCATION, AND FREE TAX PREPARATION SERVICES.",GRANT,1,06/30/2022 12:00:00 AM
OFFICE OF THE COMPTROLLER/COMPLIANCE DIVISION,MARYLAND VOLUNTEERS LAWYER SERVICE,"MARYLAND VOLUNTEER LAWYERS SERVICE, INC",21201,2022,83333.33,PROVIDE FUNDS TO OPERATE TAX CLINICS FOR LOW-INCOME MARYLAND RESIDENTS.,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,EAST BALTIMORE HISTORICAL LIBRARY,EAST BALTIMORE HISTORICAL LIBRARY,21213,2022,150000,EAST BALTIMORE HISTORICAL LIBRARY,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,ALICE FERGUSON FOUNDATION,ALICE FERGUSON FOUNDATION,20607,2022,825070.8,A FERGUSON FOUND POTOM WATERSHD CTR 14,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CENTRAL BALTIMORE PARTNERSHIP,"CENTRAL BALTIMORE PARTNERSHIP, INC.",21202,2022,125612.07,CENTRAL BALTIMORE PARTNERSHIP 2014,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,GREEN BRANCH MANAGEMENT GROUP COR,GREEN BRANCH MANAGEMENT GROUP COR,20740,2022,3000000,GREEN BRANCH ATHLETIC COMPLEX 2014,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,EAST BALTIMORE COMMUNITY SCHOOL I,EAST BALTIMORE COMMUNITY SCHOOL I,21218,2022,50000,EAST BALTIMORE HISTORICAL LIBRARY LHI 14,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,SINAI HOSPITAL OF BALTIMORE,"SINAI HOSPITAL OF BALTIMORE, INC.",21215,2022,2000000,SINAI HOSPITAL OF BALTIMORE 2016,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,STEVENSON UNIVERSITY INC,STEVENSON UNIVERSITY,21153,2022,700000,ROSEWOOD PROP ENVIRON ABATEMNT,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CENTER FOR THE VISUAL  AND PERFORMING ART INC,CENTER FOR THE VISUAL  AND PERFORMING ART INC,21014,2022,179640.42,MARYLAND CENTER FOR THE ARTS 2017,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,HIPPODROME FOUNDATION INC,HIPPODROME FOUNDATION INC,21286,2022,704889.77,HIPPODROME FOUNDATION,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,NATIONAL CRYPTOLOGIC MUSEUM FOUNDATION,NATIONAL CRYPTOLOGIC MUSEUM FOUNDATION,20755,2022,250000,NATIONAL CRYPTOLOGIC MUSEUM,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,STEVENSON UNIVERSITY,STEVENSON UNIVERSITY,21153,2022,549976.83,STEVENSON UNIV- ROSEWOOD PROP ENV ABATE,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,OLNEY THEATRE CORPORATION,OLNEY THEATRE CORPORATION,20830,2022,580633.26,OLNEY THEATER CENTER,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,FORT MEADE ALLIANCE FOUNDATION IN,FORT MEADE ALLIANCE INC,21286,2022,189258.99,RESILIENCY & EDUCATION CENTER AT KUHN HALL,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,GREEN BRANCH MANAGEMENT GROUP COR,GREEN BRANCH MANAGEMENT GROUP COR,20740,2022,1872467.71,LIBERTY SPORTS PARK,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,"MARYLAND HALL FOR THE CREATIVE ARTS, INC.","MARYLAND HALL FOR THE CREATIVE ARTS, INC.",21401,2022,191700,MARYLAND HALL FOR THE CREATIVE ARTS,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,YWCA OF ANNAPOLIS & ANNE ARUNDEL COUNTY MD INC,"YWCA OF ANNAPOLIS & ANNE ARUNDEL COUNTY, INC.",21012,2022,99326.57,YWCA DOMESTIC VIOLENCE & TRAFFICKING SHELTER,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,FAMILY SERVICES INC,"FAMILY SERVICES, INC.",20877,2022,1000000,UPCOUNTY NONPROFIT HUB,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,BON SECOURS OF MD FOUNDATION/UNITY PROPE,"BON SECOURS OF MARYLAND FOUNDATION, INC.",21223,2022,1000000,BON SECOURS YOUTH DEVELOPMENT CENTER,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,HOWARD COUNTY YOUTH PROGRAM INC,HOWARD COUNTY YOUTH PROGRAM INC,21042,2022,100000,HOWARD COUNTY YOUTH PROGRAM,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,HOWARD COUNTY YOUTH PROGRAM INC,HOWARD COUNTY YOUTH PROGRAM INC,21201,2022,124869.8,HARFORD HOUSE PROJECT,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,"HAVRE DE GRACE COLORED SCHOOL MUSEUM & CULTURAL CENTER, INC.","HAVRE DE GRACE COLORED SCHOOL MUSEUM & CULTURAL CENTER, INC.",21078,2022,58175,HISTORIC COLORED SCHOOL,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,A WIDER CIRCLE,A WIDER CIRCLE,20814,2022,185194.71,A WIDER CIRCLE 2019,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,BON SECOURS OF MD FOUNDATION/UNITY PROPE,"BON SECOURS OF MARYLAND FOUNDATION, INC.",21223,2022,725000,BON SECOURS COMM WORKS 2019,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CAL RIPKEN SR FOUNDATION INC,"CAL RIPKEN, SR. FOUNDATION",21209,2022,500000,CAL RIPKEN SR. FOUNDATION - ATHLETIC FIELDS,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CARROLL HOSPICE,CARROLL HOSPICE,21157,2022,620692.17,CARROL HOSPICE-DOVE HOUSE RENOVATION,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CHESAPEAKE BAY MARITIME MUSEUM INC,"CHESAPEAKE BAY MARITIME MUSEUM, INC.",21663,2022,250000,CHESAPEAKE BAY MARITIME MUSEUM,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,GARRETT COLLEGE,GARRETT COLLEGE,21541,2022,2002854.33,GARRETT COLL COMM ED PERF ARTS 19,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,BOARD OF GARRETT COUNTY COMM,BOARD OF GARRETT COUNTY COMMISSIONERS,21550,2022,500000,GARRETT CO EMERGENCY OPS CTR 19,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,HISTORIC ANNAPOLIS FOUNDATION,HISTORIC ANNAPOLIS FOUNDATION,21401,2022,491294.29,HISTORIC ANNAPOLIS 2019,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,BALTIMORE ZOO,BALTIMORE ZOO,21217,2022,1394854.72,MARYLAND ZOO IN BALTIMORE 2019,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,OLNEY THEATRE CORPORATION,OLNEY THEATRE CORPORATION,20832,2022,500000,OLNEY THEATRE CENTER,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,BALTIMORE MUSEUM OF ART,BALTIMORE MUSEUM OF ART,21218,2022,1215894.33,BALTIMORE MUSEUM OF ART 2019,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CENTRAL BALTIMORE PARTNERSHIP,"CENTRAL BALTIMORE PARTNERSHIP, INC.",21223,2022,666177.37,STATION NORTH INVESTMENT FUND,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,VETERANS OF FOREIGN WARS OF THE U,VETERANS OF FOREIGN WARS OF THE U,64111,2022,86382.01,VFWFSP POST AQUAC & CEN 2019,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,NATIONAL CRYPTOLOGIC MUSEUM FOUNDATION,NATIONAL CRYPTOLOGIC MUSEUM FOUNDATION,20755,2022,500000,NATIONAL CRYPTOLOGIC MUSEUM,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,BALTIMORE CHILDRENS MUSEUM INC,BALTIMORE CHILDRENS MUSEUM INC,21202,2022,465773.25,PORT DISCOVERY CHILDREN'S MUSEUM,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,AMERICAN COMMUNITIES TRUST INC,"AMERICAN COMMUNITIES TRUST, INC.",21202,2022,192000,THE LAST MILE COMMUNITY ENHANCEMENTS,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,ARUNDEL LODGE INC,ARUNDEL LODGE INC,21037,2022,50000,ARUNDEL LODGE,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CARROLL COUNTY FAIR,CARROLL COUNTY FAIR,21157,2022,115093,CARROLL CO AGR CTR AND SHIPLEY ARENA,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,NATIONAL AQUARIUM BALTIMORE,NATIONAL AQUARIUM BALTIMORE,21202,2022,1964017.87,NATIONAL AQUARIUM IN BALTIMORE,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,NORTHBAY EDUCATION INC,NORTHBAY EDUCATION INC,21901,2022,52857.6,NORTHBAY EDUCATION - CAPITAL IMPROVE,GRANT,1,06/30/2022 12:00:00 AM
